ward_off_by_earnest_prayer	deprecor
wave	flexus
curl	flexus
oiled	unctus
anointed	unctus
toil	luctamen
striving	luctamen
ripe	mitis
mild	mitis
flow_back	refluo
lie_stretched_out	procubo
of_the_same_color	concolor
horned	corniger
detriment	incommodum
plowed_fields	culta
Pallanteum	Pallanteum
Euander	Evander
Pallas	Pallas
Arcas	Arcas
of_the_mind	tumor
swelling	tumor
carry	reveho
dark	umbrosus
shady	umbrosus
flit_around	pervolito
fly_about	pervolito
flash	radio
emit_rays_of_light	radio
reflect	repercutio
strike_back	repercutio
bowl	labrum
vat_or_tub	labrum
in_as_much_as	sicut
just_as	sicut
spread_abroad	increbresco
increase_more_and_more	increbresco
become_frequent	increbresco
Venulus	Venulus
worshipper	cultor
husbandman	cultor
conspire	coniuro
swear_together	coniuro
bind_together	internecto
gaze_at	prospecto
look_forth_upon	prospecto
look_forth	prospecto
workbasket	calathus
wicker_basket	calathus
distaff	colus
Camilla	Camilla
of_or_from_the_Volscians	Volscus
Volscian	Volscus
Satura	Satura
Feronia	Feronia
of_Anxur	Anxurus
of_or_from_the_Labici	Labicus
Sacranus	Sacranus
ancestors	veteres
the_ancients	veteres
close_up	denseo
thicken	denseo
make_thick	denseo
armed_with_shield	clipeatus
Argus	Argus
argument	argumentum
evidence	argumentum
proof	argumentum
plant_upon_or_over	obsero
adorn	insignio
decorate_with_mark	insignio
Io	Io
grow_fierce	crudesco
become_harsh	crudesco
blow_or_breathe_out	efflo
of_the_sea	marinus
send_away	relego
Phoebigena	Phoebigena
the_healing_art	medicina
inventor	repertor
discoverer	repertor
Paeonius	Paeonius
tear_pieces	distraho
pull_apart	distraho
stepmother	noverca
appeasable	placabilis
Egeria	Egeria
Arici	Aricia
Virbius	Virbius
Hippolytus	Hippolytus
Fucinus	Fucinus
made_of_glass	vitreus
glassy	vitreus
Anguitia	Anguitia
Marsian	Marsus
sleep_bringing	somnifer
able	evalesco
grow_strong	evalesco
Umbro	Umbro
shot	missus
sending_away	missus
Archippus	Archippus
of_Marruvium	Marruvius
Aequian	Aequiculus
of_the_Aequi	Aequiculus
hunting	venatus
Ufens	Ufens
Nersae	Nersae
mountainous	montosus
the_cork_tree	suber
slender_javelin	cateia
form	ritus
farm_of_religious_ceremonial	ritus
Teutonic	Teutonicus
of_the_Teutons	Teutonicus
Abella	Abella
fruit_producing	malifer
Celemna	Celemna
Batulum	Batulum
Rufrae	Rufrae
Sarnus	Sarnus
Sarrastes	Sarrastes
Capreae	Capreae
Teleboae	Teleboae
Sebethis	Sebethis
Telon	Telon
Oebalus	Oebalus
unmentioned	indictus
crooked	falcatus
hooked	falcatus
short_Spanish_shield	caetra
dart_with_thong_on_its_shaft	aclys
Oscan	Oscus
Saticulus	Saticulus
Vulturnus	Vulturnus
neighbor	accola
shallow	vadosus
Cales	Cales
pertaining_Sidicini	Sidicinus
heavy_pronged_hoe	rastrum
of_Mount_Massicus	Massicus
Halaesus	Halaesus
Hermus	Hermus
the_beard_of_wheat	arista
Allia	Allia
of_Ort	Ortinus
Nursia	Nursia
Fabaris	Fabaris
the_Tiber_river	Tiberis
Himella	Himella
of_or_from_Foruli	Forulus
Casperia	Casperia
Severus	Severus
Tetrica	Tetrica
of_Rosea	Roseus
Mutusc	Mutusca
olive_bearing	olivifer
Eretum	Eretum
ancient_Sabines	Quirites
of_Amiternum	Amiternus
tribe	tribus
pertaining_the_Claudii	Claudius
Clausus	Clausus
of_town_named_'Asia'	Asius
of_Asia	Asius
food	pastus
fodder	pastus
pasture	pastus
of_Capena	Capenus
Ciminus	Ciminus
of_Flavinium_or_Flavina	Flavinius
Soracte	Soracte
Falisci	Falisci
of_or_from_the_Aequi	Aequus
Fescennine	Fescenninus
of_Fescennia	Fescenninus
gripe_or_grasp_again	retracto
handle_again	retracto
Messapus	Messapus
boot_or_high_shoe_made_of_rawhide	pero
cap_made_of_skin	galerus
bluish	liveo
leaden_ball_or_bullet	glans
an_acorn	glans
Amasenus_river	Amasenus
Anagnia	Anagnia
of_the_Hernici	Hernicus
Anio	Anio
Praeneste	Praeneste
legion	legio
Caeculus	Caeculus
founder	fundator
of_Praeneste	Praenestinus
Othrys	Othrys
Homole	Homole
name_of_the_Centaurs	nubigenae
the_cloud_born	nubigenae
Coras	Coras
Catillus	Catillus
Tiburtus	Tiburtus
of_Tibur	Tiburtinus
untrimmed	impexus
uncombed	impexus
of_the_Sabelli_or_Sabines	Sabellus
pike	dolo
staff_or_pole_with_an_iron_point	dolo
javelin	pilum
Spanish	Hiberus
Iberian	Hiberus
of_or_from_Iberia	Hiberus
Tirynthian	Tirynthius
of_Tiryns	Tirynthius
Geryon	Geryon
Laurentian	Laurentius
of_Laurentum	Laurentius
woman	mulier
Rhea	Rhea
Aventinus	Aventinus
of_Agyll	Agyllinus
conqueror	debellator
Lausus	Lausus
Mezentius	Mezentius
despiser	contemptor
Helicon	Helicon
square_tablet_or_piece	tessera
the_trumpet	classicum
the_sound_of_the_trumpet	classicum
forge	fornax
furnace	fornax
recast	recoquo
boil_again	recoquo
plowshare	vomer
covering_made_of_metal_for_the_protection_of_the_leg	ocrea
greave	ocrea
corselet	thorax
wicker_work	crates
hurdle	crates
made_of_willow	salignus
Antemnae	Antemnae
tower_crowned	turriger
of_or_from_Crustumeri	Crustumerus
Tibur	Tibur
Atina	Atina
an_anvil	incus
whetstone	cos
grease	arvina
clean	tergeo
wipe	tergeo
quiet	inexcitus
dormant	inexcitus
blow	conspiro
answering_sound	adsensus
an_assenting	adsensus
open	resero
unbolt	resero
of_Gabii	Gabinus
lever	vectis
Parthian	Parthus
Arabian	Arabus
Arab	Arabus
Getae	Getae
sacrilegious	sacrilegus
guilty_of_impiety	sacrilegus
will	nutus
nod	nutus
seaweed	alga
throw_down	perverto
overthrow	perverto
overturn	perverto
wild_dance	thiasus
dance_in_honor_of_Bacchus	thiasus
mingle_with	admisceo
conjure	obtestor
call_witness	obtestor
pest_bringing	pestifer

breathing_place	spiraculum
cave	specus
roaring	fragosus
crashing	fragosus
on_or_from_either_side	utrimque
Ampsanctus	Ampsanctus
famous	nobilis
illustrious	nobilis
without_restraint	licenter
freely	licenter
hand_hand	comminus
enough	abunde
sufficiently	abunde
besprinkle	respergo
sprinkle_over	respergo
since_indeed	quandoquidem
friendship	amicitia
stain	imbuo
wet	imbuo
permeate	imbuo
drench	imbuo
bleat	balo
5th	quinque
5	quinque
Galaesus	Galaesus
Almo	Almo
cloud	nubilum
darkness	nubilum
burn_at_the_point	praeuro
palisade	sudes
stake	sudes
trumpet	bucina
Venilus	Velinus
Nar	Nar
sulphureous	sulphureus
tremble	contremo
curving_back_or_round	recurvus
pertaining_shepherds	pastoralis
meet	nanciscor
obtain	nanciscor
wildly	immane
split_in_four_parts	quadrifidus
burnt	obustus
brand	torris
firebrand	torris
the_groin	ile

set_on_fire_from_beneath	succendo
distinguished	eximius
exceptional	eximius
green	virido
pertaining_an_owner	erilis
comb	pecto
decorate	orno
equip	orno
Silvia	Silvia
Tyrrheus	Tyrrheus
nourish	nutrio
the_sons_of_Tyrrheus	Tyrrhidae
of_Cocytus	Cocytius
encourage	exhortor
abound	exubero
supply	suggero
bring_or_put_under_or_up_to	suggero
of_twigs	virgeus
noise	sonor
flaming	flammeus
fiery	flammeus
hiss	sibilo
openly	palam
dowry	dos
endowment	dos
gift	dos
old_woman	anus
Calybe	Calybe
wrinkle	ruga
change_the_form	transformo
Arde	Ardea
Danae	Danae
pertaining_Acrisione_or_Danae	Acrisioneus
dusky	fuscus
dark	fuscus
of_the_hair	crinalis
hurrah_oh	io
endure	sustineo
able_to	sustineo
sustain	sustineo
gird_on	incingo
staff_wreathed_with_ivy_and_vine_leaves	thyrsus
the_stalk_of_plant	thyrsus
and_indeed	etenim
woo	euhoe
fly_away	evolo
lashing	plaga
wound	plaga
blow	plaga

the_box_tree	buxus
spinning	volubilis
turning	volubilis

craze	lympho
dilute_with_water	lympho
raging	furialis
Acrisius	Acrisius
Inachus	Inachus
situated_apart	dissideo
free	liber
Lacedaemon	Lacedaemon
robber	praedo
greatly	multa
much	multa
having_been_accustomed	solitus
take_in	percipio
winding	tortilis
twisted	tortilis
touch	attactus
touching	attactus
place_or_fasten_under	subdo
put_under	subdo
cook	coquo
Amata	Amata
Gorgonian	Gorgoneus
go_about	ambio
go_round	ambio
work	opera
make_pointed	acuo
sprout	pullulo
spring_out	pullulo
Plu	Pluto
Allecto	Allecto
grief_inducing	luctificus
deadly	funestus
with_young	praegnans
Cisseis	Cisseis
Roman_goddess_of_war	Bellona
Bellona	Bellona
endow	doto
commodity	merces
article_for_sale	merces
wages	merces
pay	merces
unattempted	inausus
Calydon	Calydon
destroy	perdo
satisfy	exsaturo
Phryx	Phryx
it_concerns	refert
Inachian	Inachius
of_Inachus	Inachius
produce	creo
create	creo
illegitimate	nothus
cunningly_wrought	daedalus
skillful	daedalus
artificial	daedalus
tapestry	tapetum
wing_footed	alipes
select	eligo
pick_out	eligo
divine	auguro
shudder_at	exhorresco
shudder_greatly	exhorresco
wealth	opulentia
unmoved	immobilis
tiara	tiara
turban	tiara
headband	tiara
decay	abolesco
bringing_disgrace	indecor
disgraceful	indecor
harmless	innocuus
washing_away	diluvium
performance	actus
an_impelling	actus
thronging	effusus
overflowing	effusus
poured_forth	effusus
Samothracia	Samothracia
Phrygia	Phrygia
of_Aurunca	Auruncus
Auruncan	Auruncus
small_figure_of_eight_shield	ancile
togof_purple_cloth	trabea
pertaining_Quirinus_or_Romulus	Quirinalis
double_faced	bifrons
two_faced	bifrons
Ianus	Ianus
vine_planter	vitisator
Sabine	Sabinus
Italus	Italus
court	curia
Roman_senate	curia
place_of_assembly	curia
ancestral	avitus
of_grandfather	avitus
ride_before	praevehor
train	domito
tame	domito
youthful	primaevus
eldest	primaevus
wing	pinna
feather	pinna
ditch	fossa
holy	augustus
speaker	orator
begotten_of	satus
Numicus	Numicus
spread_abroad	dido
invoke	invoco
call_upon	invoco
sport	adludo
speak_playfully	adludo
one_of_the_equal_quarters_of_wheaten_loaf_or_cake	quadra
anything_quadriform	quadra
wide	patulus
opening	patulus
crust	crustum
want	penuria
fruit	pomum
cake	libum
of_fine_wheat	adoreus
bind_fast	religo
tie_up	religo
return	recurro
run_back	recurro
supported	effultus
propped_up	effultus
sacrificial_animal	bidens
having_two_teeth	bidens
conversation	colloquium
poisonous	mephitis
Albunea	Albunea
prophetic	fatidicus
smoking	fumidus
swarm	examen
multitude	examen
interchangeable	examen	mutuus
fear	terror
an_omen	portentum
connect	adiungo
join_to	adiungo
palace	regia
grandfather	atavus
Turnus	Turnus
marriageable	nubilis
Picus	Picus
Marica	Marica
Faunus	Faunus
position	status
Erato	Erato
an_oar	tonsa
yellowish	luteus
blazing	fervidus
intensely_hot	fervidus
except	praeter
beyond	praeter
past	praeter
so_as_pass_by	praeter
bear	ursus
bristle_bearing	saetiger
clever	argutus
clear	argutus
cedar	cedrus
daughter	filia
perilous_approached	inaccessus
difficult_of_approach	inaccessus
of_Circe	Circaeus
trembling	tremulus
shine	splendeo
funeral_rites	exsequiae
of_Aeneas	Aeneius
direct	rectus
straight	rectus
Caieta	Caieta
made_of_horn	corneus
Latinus	Latinus
perform_	fungor
place_heap_on_heap	accumulo
the_shoulder	armus
spur	calcar
dig	fodio
Romulean	Romulus
of_Romulus	Romulus
offspring	propago
the_layer_of_vine	propago
that_which_is_fastened_forward_or_along	propago
around	circa
rebellious	rebellis
warring	rebellis
Gaul	Gallus
Marcellus	Marcellus
passage	meatus
going	meatus
sweetly	molliter
gently	molliter
softly	molliter
mollius	molliter

restore	restituo
Maximus	Maximus
Fabius	Fabius
Serranus	Serranus
Fabricius	Fabricius
small_estate	parvum
one_of_the_Scipios	Scipiades
Gracchus	Gracchus
Cossus	Cossus
Ca	Cato
defile	temero
desecrate	temero
violate	temero
Corinth	Corinthus
the_Capitol	Capitolium
triumph	triumpho
grow_accustomed_to	assuesco
Monoecus	Monoecus
Camillus	Camillus
Torquatus	Torquatus
Drusus	Drusus
Decii	Decii
at_any_rate	utcumque
at_any_event	utcumque
whenever	utcumque
according_as	utcumque
however	utcumque
in_whatever_way	utcumque
freedom	libertas
consul	consul
burden	fascis
bundle	fascis
Brutus	Brutus
Tarquinius	Tarquinius
public	popularis
Ancus	Ancus
arrogant	iactans
Tullus	Tullus
Cures	Cures
covered_over_with_gray	incanus
Nys	Nysa
Dionysus	Liber
Bacchus	Liber
covered_in_vines	pampineus
quiet	paco
render_peaceful	paco
even_though	licet
bronze_footed	aeripes
Nilus	Nilus
sevenfold	septemgeminus
pertaining_the_Maetoae	Maeotius
Caspian	Caspius
of_the_Caspian_Sea	Caspius
heaven_bearing	caelifer
bring_forth	profero
native_american	Indus
Indian	Indus
belonging_India	Indus
Saturnus	Saturnus
Augustus	Augustus
Berecyntius	Berecyntius
Cor
Bola	Bola
another_name_for_god_Pan	Inuus
Castrum_Inui	Castrum
of_or_from_the_Pometii	Pometius
of_Collatia	Collatinus
Fidena	Fidena
Gabii	Gabii
Nomentum	Nomentum
of_citizen	civilis
Numitor	Numitor
Procas	Proca
Lavinia	Lavinia
Silvius	Silvius
bright	illustris
assembly	conventus
lacking_guile	simplex
naïve	simplex
artless	simplex
from_that_place	exinde
wash_out_or_away	eluo
grow_into	inolesco
bodily	corporeus
utterly	funditus
completely	funditus
see_distinctly	dispicio
earthen	terrenus
hurtful	noxius
guilty	noxius
vigor	vigor
activity	vigor
liveliness	vigor

drink	poto
oblivion	oblivium
murmur	strepo
make_noise	strepo
lily	lilium
countless	innumerus

swim_in_front_of_or_by	praenato
sequestered	seclusus
moisten	rigo
distinguish_by_number	dinumero
reckon	recenseo
estimate_from_the_beginning	recenseo

till_again	recolo
dwell	incolo
inhabit	incolo
meadow	pratum
rise_above	exsto
stand_forth_or_out	exsto
Musaeus	Musaeus
refine	excolo
cultivate_completely	excolo
Eridanus	Eridanus
from_above	superne
sweet_smelling	odoratus
originally_Paean	Paean
of_ivory	eburneus
scallop	pecten
shell_fish	pecten
comb	pecten
speak_against	obloquor
circling_dance	chorea
clothe	vestio
lawn_or_meadow	virectum
green_or_grassy_spot	virectum
brothel	fornix
vault	fornix
an_arch	fornix
run_through_or_over	percurro
Phlegyas	Phlegyas
draw	distringo
draw_apart	distringo
adultery	adulterium
wealth	divitia
riches	divitia
dependent	cliens
client	cliens
rise	exsurgo
rise_up	exsurgo
lie_near_or_by	accubo
royal	regificus
magnificent	regificus
support	fulcrum
genial	genialis
sacred_the_guardian_spirit	genialis
similar_to	adsimilis
like	adsimilis
Ixion	Ixion
Lapitha	Lapitha
grow_again	renascor
reproduced	renascor
born_again	renascor
fiber	fibra
force_open_in_cracks	rimor
bringing_forth	fecundus
the_liver	iecur
immortal	immortalis
hooked	obuncus
vulture	vultur
stretch_forth	porrigo
Roman_acre	iugerum
foster_son	alumnus
all_producing	omniparens
Tityos	Tityos
smoky	fumeus
tramp	pulsus
striking_or_beating	pulsus
horn_hoofed	cornipes
that_can_imitated	imitabilis
imitate	imitor
Salmoneus	Salmoneus
cancel	rescindo
tear_off_or_away	rescindo
the_stepsons_of_Aloeus	Aloidae
of_Titanian_origin	Titanius
Titanian	Titanius
distance_upward	suspectus
upward_views	suspectus
looking_up	suspectus
snake	hydra
water_serpent	hydra
prisoner	custodia
protection	custodia
custody	custodia
causing_fearful_sound	horrisonus
guilty	sons
hurtful	sons
differ	differo
divulge	differo
scatter	differo
Rhadamanthus	Rhadamanthus
fetter	catena
chain	catena
sleepless	exsomnis
Tisiphone	Tisiphone
that_which_cannot_overcome	adamas
of_the_Elysian_fields	Elysius
Elysian	Elysius
split_apart	findo
yoke_or_team_of_four_horses	quadrigae
an_instigator	hortator
one_giving_encouragement_or_inciting	hortator
move_away	amoveo
lead_around	circumduco
crying_Euhan_shrieking_madly	euhans
foot_soldier	pedes
slaughter	strages
nostril	naris
ignominious	inhonestus
dishonorable	inhonestus
barbarously	crudeliter
cruelly	crudeliter
lacerate	lanio
yawn	hio
frustrate	frustror
render_vain	frustror
move	confero
transfer	confero
collect	confero
Idaeus	Idaeus
Polyboetes	Polyboetes
Antenorides	Antenorides
Thersilochus	Thersilochus
Medon	Medon
doomed	caducus
liable_fall	caducus
Adrastus	Adrastus
Parthenopaeus	Parthenopaeus
Tydeus	Tydeus
crowd_together	frequento
former	pristinus
shady	umbrifer
of_Marpesus	Marpesius
departure	discessus
able	queo
rugged	sentus
thorny	sentus
shape	figura
form	figura
Caeneus	Caeneus
Laodamia	Laodamia
Evadne	Evadne
Eriphyl	Eriphyla
Procris	Procris
Phaedra	Phaedra
of_myrtle	myrteus
consume	peredo
eat_up	peredo
eat_through_or_completely	peredo
melting	tabes
control	coerceo
enclose	coerceo
9_times	noviens
unlovely	inamabilis
poverty	pauperies
narrow_or_straitened_circumstances	pauperies
hate	perodi
Minos	Minos
investigation	quaesitor
an_investigator	quaesitor
juror	iudex
judge	iudex
an_infant	infans
not_capable_of_speech	infans
wailing	vagitus
throat	guttur
windpipe	guttur
mouthful	offa
dye	medico
medicate	medico
treat	medico
three_throated	trifaux
triple_voiced	trifaux
Cerberus	Cerberus
abandon	expono
sea_green	glaucus
dark	glaucus
slime	limus
mud	limus
leaky	rimosus
full_of_cracks	rimosus
stitched_together	sutilis
cavity	alveus
deserving_of_respect	venerabilis
venerable	venerabilis
uncle	patruus
bark	latro
eternally	aeternum
continually	aeternum
door_keeper	ianitor
Amphrysius	Amphrysius
attempt	adorior
attack	adorior
Pirithous	Pirithous
convey	vecto
drowsy	soporus
from_over_there	istinc
complain_loudly_about	increpo
rattle	increpo
little_while	parumper
not_commanded	iniussus
serious	severus
mother	creatrix
she_who_brings_forth	creatrix
Velian	Velinus
of_Velia	Velinus
unconquered	invictus
agreeable	iucundus
delightful	iucundus
pleasant	iucundus
savage	violentus
violent	violentus
deceive	deludo
stormy	ventosus
windy	ventosus
Leucaspis	Leucaspis
admit	admitto
send_to	admitto
carry_across_or_over	transporto
envious	lividus
bluish	lividus
remove	summoveo
move_from_beneath	summoveo
fall	autumnus
rowboat	cumba
small_boat	cumba
carry_up_often	subvecto
rust_colored	ferrugineus
sordid	sordidus
dirty	sordidus
hoariness	canities
Charon	Charon
foulness	squalor
ferryman	portitor
carrier	portitor
fret	aestuo
seethe	aestuo
burn	aestuo
very_hot	aestuo
chasm	vorago
dirt	caenum
Tartarean	Tartareus
pertaining_Tartarus	Tartareus
skilled	doctus
learned	doctus
taught	doctus
three_bodied	tricorpor
fearfully	horrendum
Lerna	Lerna
beast	belua
Briareus	Briareus
hundredfold	centumgeminus
stay	stabulo
in_stall_or_standing_place	stabulo
an_elm_tree	ulmus
viperous	vipereus
dissention	discordia
disagreement	discordia
deadly	mortifer
want	egestas
need	egestas
poverty	egestas
crime_inducing	malesuadus
desperate	malesuadus
disease	morbus
sickness	morbus
dip	mergo
Phlegethon	Phlegethon
timid	timidus
cowardly	timidus
hesitant	timidus
need	opus
no_sacred	profanus
profane	profanus
outside_the_shrine	profanus
pour_over_or_upon	superfundo
begin	incoho
lay_the_foundation	incoho
knife	culter
plowshare	culter
sacrifice	libamen
libation	libamen
stiff_hair	saeta
bristle	saeta
turn_into	invergo
cause_incline	invergo
bird	volans
winged_creature	volans
consisting_of_jagged_stone	scrupeus
throat	hiatus
gaping	hiatus
quick	properus
pass_around	circumfero
bear_round	circumfero
Corynaeus	Corynaeus
absorbent	bibulus
drinking_readily	bibulus
oil	olivum
of_frankincense	tureus
burn	cremo
ministry	ministerium
service	ministerium
bier	feretrum
weep_over	defleo
weep_much	defleo
hot	calidus
warm	calidus
adorn	decoro
the_end	supremum
break_off	refringo
break_back	refringo
gold_foil	bractea
thin_plate_of_metal	bractea
plant	semino
green	vireo
the_mistletoe	viscum
wintry	brumalis
of_different_color	discolor
perch	sido
seat_one’s_self	sido
aromatic	olens
having_smell	olens
go	prodeo
shade	opaco
truly	vere
roll_to	advolvo
easily_split	fissilis
pertaining_the_ash_tree	fraxineus
smite	ico
the_pine	picea
the_pitch_pine	picea
foaming	spumosus
cockle_shell	concha
shellfish	concha
lower	inferior
wind_instrument	lituus
an_augur's_staff	lituus
son_or_descendant_of_Aeolus	Aeolides
inhume	humo
lay_earth_on_anything	humo
interweave	sero
join_together	sero
result	eventus
Styx	Styx
decision	consultum
decree	consultum
defile	incesto
trace	vestigo
track	vestigo
metal	metallum
mine	metallum
put_forth_leaves	frondesco
crop	decerpo
pluck_off	decerpo
golden_haired	auricomus
partitive	opertum
covered_or_secret_place	opertum
valley	convallis
valley_completely_enclosed_by_hills	convallis
swim_upon_or_over	inno
surround	circumvenio
Cocytus	Cocytus
carry_up	eveho
carry_forth	eveho
descent	descensus
going_down	descensus
Theseus	Theseus
buy_out_of_slavery	redimo
purchase	redimo
buy_back	redimo
Pollux	Pollux
harmonious	canorus
lute_string	fides
Orpheus	Orpheus
put_in_charge	praeficio
marsh	palus
advise	praecipio
anticipate	praecipio
spur	stimulus
prick	stimulus
resound	remugio
bellow_again_or_loudly	remugio
venturing	audens
complete	defungor
finish	defungor
raging	rabidus
mad	rabidus
savage	rabidus
raving	rabidus
by_so_much	tanto
mockery	ludibrium
mocking	ludibrium
educate	instituo
equip	instituo
undertake	instituo
not_due	indebitus
prescient	praescius
foreknowing	praescius
survey	obeo
visit	obeo
go_to	obeo
adorn	como
arrange	como
flock	grex
herd	grex
_the_seats_for_the_audience	spectaculum
spectacle	spectaculum
Deiphobe	Deiphobe
read_through	perlego
mold_out	effingo
Icarus	Icarus
string	filum
thread	filum
that_cannot_disengaged_or_disentangled	inextricabilis
in	insum
Minotaurus	Minotaurus
two_formed	biformis
Pasiphae	Pasiphae
substitute	suppo
put_something_in_the_place_of_another	suppo
put	suppo
urn	urna
the_Athenians	Cecropides

son_or_descendant_of_Cecrops	Cecropides
have_weight_of	pendo
weigh	pendo
Chalcidian	Chalcidicus
of_Chalcis	Chalcidicus
Arctos	Arctos
swim_out_or_away	eno
unaccustomed	insuetus
pertaining_Minos	Minoius
Daedalus	Daedalus
an_epithet_of_Hecate_or_Diana	Trivia
Trivia	Trivia
secret	secretum
solitary_place	secretum
anything_apart	secretum
push_or_thrust_off	abstrudo
seed	semen
Cumae	Cumae
Euboean	Euboicus
of_Euboe	Euboicus
float	fluito
Sirenes	Sirenes
unexpected	inopinus
drug	soporo
make_soporific	soporo
cause_sleep_or_render_sleepy	soporo
dew	ros
Lethean	Lethaeus
oblivious	Lethaeus
of_Lethe	Lethaeus
fasten_to	adfigo
clear_sky	serenum
false	fallax
treacherous	fallax
deceitful	fallax
ignore	ignoro
not_know	ignoro
for_short_while	paulisper
steal	furor
Iasides	Iasides
word	loquela
speech	loquela
talking	loquela
Phorbas	Phorbas
dream	somnium
murky	tenebrosus
dark	tenebrosus
left	sinister
Cymodoce	Cymodoce
Thalia	Thalia
Spio	Spio
Nisaee	Nisaee
Melite	Melite
Thetis	Thetis
waters_or_waves_on_the_left_hand	laeva
the_left_hand_places	laeva
Palaemon	Palaemon
pertaining_Ino	Inous
Glaucus	Glaucus
whale_or_other_large_secreature	cetus
the_thunderer	tonans
thundering	tonans
calm	permulceo
stroke	permulceo
Avernus	Avernus
violating_one's_oath	periurus
roll_out_or_forth	evolvo
drive	impingo
fasten_upon	impingo

deprive_of_life	exanimo
tamer	domitor
Laurentine	Laurens
foully	foede
shamefully	foede
pertaining_Aeolus	Aeolius
witness	testis
not_long_ago	nuper
annihilate	perimo
take_away_completely	perimo
eat_out	exedo
break	infringo
break_in	infringo
soothe	mitigo
make_soft_or_mild	mitigo
that_can_satisfied	exsaturabilis
ewe_lamb	agna
young_bullock	vitulus
kindred	consanguineus
having_common_blood	consanguineus
endurable	tolerabilis
curved_forward	procurvus
of_Anchises	Anchiseus
Idalian	Idalius
of_Idalius	Idalius
pertaining_Eryx	Erycinus
forum	forum
plough	aratrum
arrange	designo
mark_out	designo
vigorous	vividus
lively	vividus
boat	navigium
enroll	transcribo
transfer_by_writing	transcribo
communicate	edoceo
teach_completely	edoceo
summon	arcesso
fetch	arcesso
an_incense_box	acerra
household_god	Lar
Lar	Lar
rush_forth	proripio
snatch_forth	proripio
gasping	anhelus
panting	anhelus
Elysium	Elysium
charming	amoenus
conflict	congressus
coming_together	congressus
subdue	debello
put_down_by_war	debello
war_the_end	debello
gathered	lectus
expel	depello
drive_off	depello

carry_up	subveho
Acesta	Acesta
not_strong	invalidus
draw_back	retraho
he_begins_speak	infit
one_begins	infit
Nautes	Nautes
drip	madesco
become_wet	madesco
height	arduum
high_place	arduum
bring_forth	edo
emit	edo
hostile	exosus

hating_much	exosus
useful	prosum
heat	vapor
steam	vapor
vapor	vapor
belch	vomo
vomit	vomo
tow	stuppa
the_calking_of_ship	stuppa
the_coarse_part_of_flax	stuppa
on_that_account	idcirco
completely_hollow	concavus
in_anywhere	sicubi
hasten	accelero
hold_back	retineo
pertaining_horseman	equester
Eumelus	Eumelus
wedge	cuneus
look_at	specto
grudging	malignus
malicious	malignus
wicked	malignus
malignant	malignus
Pyrgo	Pyrgo
age	natus
birth	natus
amaze	stupefacio
shake	corusco
move_quickly_hither_and_thither	corusco
push_with_the_horns	corusco
unfortunate	infaustus
measure_out_or_off	emetior
Doryclus	Doryclus
of_Tmaros	Tmarius
Beroe	Beroe
harm	noceo
the_seashore	acta
Trojan_woman	Troas
pass	trames
by_path_or_narrow_way	trames
crossway	trames
glut	saturo
fill	saturo
of_space_and_time	hactenus
so_far	hactenus
thus_far	hactenus
far_off	porro
or_of_mental_operations	porro
time	porro
of_space	porro
forward	porro
ancient	priscus
of_Carpathus	Carpathius
that_can_not_gone_over_again	inremeabilis
not_overtaken	indeprensus
the_Labyrinth	Labyrinthus
hinder	impedio
retreat	recursus
return	recursus
running_back	recursus
ride_in_different_directions	discurro
run_apart	discurro
scourge_or_whip	flagellum
bright	candidus
clear	candidus
shining_white	candidus
of_the_Atii	Attius
Atys	Atys
of_two_colors	bicolor
increase	augeo
an_audience	circulus
group_of_people	circulus
chain	circulus
ring	circulus
circle_or_orbit	circulus
turn_round	obtorqueo
pliant	flexilis
flexible	flexilis
fasten_before	praefigo
shine	luceo
troop	turma
boyish	puerilis
Epytides	Epytides
not_full_grown	impubes
prefer	praefero
call	appello
Cisseus	Cisseus
Thracian	Thracius
or_part	exsors
lot	exsors
without_share	exsors
thunder_at	attono
flash_or_shoot_across	transcurro
run_across	transcurro
causing_terror	terrificus
fall	decido
fall_down	decido
applaud	plaudo
approve	plaudo
clap	plaudo
strike	plaudo
pale_yellow	lineus
flaxen	lineus
strike_asunder	diverbero
string	nervus
cord	nervus
tendon	nervus
muscle	nervus
draw_forth	depromo
bend	incurvo
bend_in	incurvo
sit_or_settle_down	subsido
Pandarus	Pandarus
Eurytion	Eurytion
Hippocoon	Hippocoon
Hyrtacides	Hyrtacides
mast	malus
standing_pole	malus
crush	effringo
break_out_or_open	effringo
balance	libro
vomit	eiecto
cast_forth	eiecto
coarse	crassus
crass	crassus
fat	crassus
thick	crassus
on_both_sides	utroque
separate	dirimo
take_asunder	dirimo
madness	dementia
run_to	accurro
Erymanthus	Erymanthus
foresee	praevideo
see_beforehand	praevideo
an_assault	adsultus
leaping_upon	adsultus
fort	castellum
castle	castellum
attack	oppugno
strong	valens
provoke	lacesso
unfrightened	interritus
finger	digitus
throw_back	reicio
old_age	senectus
descendant_of_Alceus	Alcides
the_brain	cerebrum
taint	inficio
impart_some_foreign_quality_an_object	inficio
Hercules	Hercules
Anchisiades	Anchisiades
sew_or_stitch_in	insuo
lead	plumbum
youthful_vigor	iuventas
the_age_of_youth	iuventas
youthfulness	iuventas
exhausted	effetus
cold	frigeo

blunt	hebeo
old_age	senecta
loiter	tardo
hardy	patiens
patient	patiens
