sevenfold	septemplex
heat	vapor
steam	vapor
vapor	vapor
belch	vomo
vomit	vomo
tow	stuppa
hasten	accelero
eumelus	eumelus
wedge	cuneus
grudging	malignus
malicious	malignus
wicked	malignus
malignant	malignus
pyrgo	pyrgo
age	natus
birth	natus
amaze	stupefacio
shake	corusco
unfortunate	infaustus
doryclus	doryclus
beroe	beroe
harm	noceo
pass	trames
crossway	trames
glut	saturo
fill	saturo
time	porro
forward	porro
ancient	priscus
hinder	impedio
retreat	recursus
return	recursus
bright	candidus
clear	candidus
atys	atys
increase	augeo
chain	circulus
ring	circulus
pliant	flexilis
flexible	flexilis
shine	luceo
troop	turma
boyish	puerilis
epytides	epytides
prefer	praefero
call	appello
cisseus	cisseus
thracian	thracius
lot	exsors
fall	decido
applaud	plaudo
approve	plaudo
clap	plaudo
strike	plaudo
flaxen	lineus
string	nervus
cord	nervus
tendon	nervus
muscle	nervus
bend	incurvo
pandarus	pandarus
eurytion	eurytion
hippocoon	hippocoon
hyrtacides	hyrtacides
mast	malus
crush	effringo
balance	libro
vomit	eiecto
coarse	crassus
crass	crassus
fat	crassus
thick	crassus
separate	dirimo
madness	dementia
erymanthus	erymanthus
foresee	praevideo
fort	castellum
castle	castellum
attack	oppugno
strong	valens
provoke	lacesso
unfrightened	interritus
finger	digitus
taint	inficio
hercules	hercules
anchisiades	anchisiades
lead	plumbum
youthfulness	iuventas
exhausted	effetus
cold	frigeo
blunt	hebeo
loiter	tardo
hardy	patiens
patient	patiens
green	viridans
entellus	entellus
lively	alacer
extend	protendo
stretch	extendo
strike	percello
bebrycian	bebrycius
butes	butes
dares	dares
comfort	solacium
announce	propono
propose	propono
unfasten	refigo
didymaon	didymaon
damp	udus
wet	udus
burdensome	onerosus
declare	proclamo
support	adiuvo
assist	adiuvo
help	adiuvo
goodwill	favor
dung	fimus
mire	fimus
waver	titubo
shoe	calx
satisfied	contentus
content	contentus
polished	teres
tapering	teres
belt	balteus
fill	circumamplector
encircle	circumamplector
amazonian	amazonius
ornaments	phalerae
olive	oliva
arrow	spiculum
sting	spiculum
customary	adsuetus
usual	adsuetus
panopes	panopes
tegean	tegeaeus
patron	patron
salius	salius
diores	diores
euryalus	euryalus
nisus	nisus
invite	invito
grassy	gramineus
pholoe	pholoe
restrain	retento
lame	claudus
limping	claudus
twisting	tortus
wayfarer	viator
traveler	viator
mangled	lacer
torn	lacer
covert	obliquus
indirect	obliquus
slanting	obliquus
maimed	debilis
disabled	debilis
ribbon	taenia
crown	evincio
crimson	puniceus
reddish	puniceus
struggle	conitor
sagaris	sagaris
phegeus	phegeus
defense	tutamen
concede	dono
give	dono
demoleos	demoleos
baying	latratus
barking	latratus
pant	anhelo
maeander	maeander
crimson	purpura
purple	purpura
special	praecipuus
peculiar	praecipuus
veil	advelo
reveal	declaro
auctioneer	praeco
herald	praeco
portunus	portunus
panopea	panopea
phorcus	phorcus
defendant	reus
incite	instigo
strip	spolio
brood	nidus
nest	nidus
porous	latebrosus
pole	contus
pole	trudis
creak	crepo
rattle	crepo
puffing	anhelitus
withdraw	subtraho
pursuing	sequax
following	sequax
malea	malea
vomit	revomo
drunk	madidus
wet	madidus
moist	madidus
nail	clavus
tiller	gubernaculum
helm	gubernaculum
menoetes	menoetes
director	rector
plow	sulco
resound	consono
whip	verber
charioteer	auriga
yoked	biiugus
prow	rostrum
beak	rostrum
cut	infindo
induce	adduco
seabird	mergus
gull	mergus
cluentius	cluentius
centaur	centaurus
line	versus
threefold	triplex
chimaera	chimaera
memmius	memmius
enter	ineo
talent	talentum
circle	circus
bordering	finitimus
phaethon	phaethon
acheron	acheron
devour	depasco
slippery	levis
smooth	levis
brightness	fulgor
flash	fulgor
lightning	fulgor
calmly	placide
gently	placide
circle	gyrus
imperative	salveo
well	salveo
bowl	carchesium
mature	maturus
helymus	helymus
dyspeptic	crudus
raw	crudus
bloody	crudus
apply	adhibeo
create	genero
sire	genero
parade	pompa
procession	pompa
understand	deprehendo
seize	deprehendo
catch	deprehendo
respected	honoratus
yearly	annuus
call	advoco
summon	advoco
crinisus	crinisus
bear	ursa
libyan	libystis
evening	vesper
bend	obliquo
why	quianam
slip	dilabor
dis	dis
dewy	roscidus
condemn	damno
proserpina	proserpina
iris	iris
death	obitus
downfall	obitus
difficult	difficilis
breath	halitus
breathing	halitus
fraud	fraus
shout	clamo
call	clamo
fist	pugnus
talon	unguis
claw	unguis
fingernail	unguis
yelling	ululatus
wailing	lamenta
imprint	imprimo
excessively	nimium
frenzied	furibundus
raging	furibundus
cheek	gena
mark	interfundo
besprinkle	interfundo
spot	macula
frantic	efferus
savage	efferus
expiatory	piaculum
barce	barce
report	trado
implore	imploro
exiled	extorris
attack	vexo
annoy	vexo
reckless	audax
bold	audax
limit	terminus
gutter	trivium
crossroads	trivium
grace	decet
become	decet
adorn	decet
naval	navalis
wow	pro
yellow	flaveo
mirror	speculum
tithonus	tithonus
eagerness	ardor
heat	ardor
burning	ardor
halter	retinaculum
flashing	fulmineus
scabbard	vagina
awake	vigilo
fickle	mutabilis
changeable	mutabilis
shine	conluceo
incite	concito
color	color
groans	questus
moaning	questus
complaining	questus
sychaean	sychaeus
pass	dego
lacking	expers
ruined	perditus
gratitude	gratia
influence	gratia
favor	gratia
therefore	igitur
wave	fluctuo
still	silens
bramble	dumus
melodious	liquidus
liquid	liquidus
clear	liquidus
loosen	recingo
mill	mola
snatch	praeripio
pubescent	pubens
harvest	meto
sickle	falx
scythe	falx
avernian	avernus
hecate	hecate
chaos	chaos
funereal	funereus
fringe	praetexo
paleness	pallor
couch	lectus
bed	lectus
hesperis	hesperis
fitting	aptus
appropriate	aptus
ethiopian	aethiops
decide	decerno
determine	decerno
conceive	concipio
produce	concipio
dira	dira
thebes	thebae
pentheus	pentheus
eumenides	eumenides
terrify	horrifico
terrifying	terribilis
prediction	praedictum
owl	bubo
fleece	vellus
marble	marmor
steady	assiduus
established	assiduus
cover	consterno
blast	flatus
wind	flatus
blowing	flatus
old	annosus
aged	annosus
stop	obstruo
space	spatium
swear	iuro
aulis	aulis
chastise	castigo
crops	frumentum
grain	frumentum
thrust	trudo
large	grandis
path	callis
carry	convecto
pile	acervus
heap	acervus
spelt	far
ant	formica
depart	migro
go	migro
unfashioned	infabricatus
unwrought	infabricatus
anoint	unguo
persist	exsequor
accomplish	exsequor
follow	exsequor
fail	conlabor
separate	seduco
punishment	supplicium
refute	refello
disparage	refello
seer	augur
prefer	antefero
whether	num
reserve	reservo
tiger	tigris
caucasus	caucasus
voluntarily	sponte
complaint	querela
cease	desino
cheat	fraudo
defraud	fraudo
remind	admoneo
admonish	admoneo
fiery	igneus
hide	operio
cover	operio
gryneian	gryneus
rebuilt	recidivus
returning	recidivus
theft	furtum
spirit	spiritus
breath	spiritus
elissae	elissa
deserve	promereor
enumerate	enumero
press	obnitor
advice	monitum
counsel	monitum
entirely	omnino
twig	suboles
shoot	suboles
destroy	destruo
since	quoniam
nomas	nomas
anothers	alienus
unrelated	alienus
strange	alienus
withdraw	decedo
false	perfidus
treacherous	perfidus
faithless	perfidus
cithaeron	cithaeron
nocturnal	nocturnus
triennial	trietericus
rouse	stimulo
spur	stimulo
thyias	thyias
poor	inops
lacking	inops
movement	motus
motion	motus
perform	facesso
swifter	ocior
mnestheus	mnestheus
there	illuc
origin	exordium
beginning	exordium
address	adfatus
encompass	ambio
silent	obmutesco
disappear	evanesco
heir	heres
leisure	otium
rub	tero
commission	mandatum
order	mandatum
web	tela
cloak	laena
jasper	iaspis
renew	novo
found	fundo
twig	planta
sprout	planta
winged	alatus
sandy	harenosus
bird	avis
cyllenian	cyllenius
ice	glacies
snow	nix
constantly	adsidue
perpetually	adsidue
reinforce	fulcio
fortify	fulcio
strengthen	fulcio
fould	turbidus
confused	turbidus
unseal	resigno
tartarus	tartarus
summon	evoco
stick	virga
blast	flamen
gust	flamen
sandals	talaria
sum	summa
peak	summa
envy	invideo
heavy	gravidus
claim	vindico
mercurius	mercurius
plunder	raptum
damp	madeo
wet	madeo
turban	mitra
headband	mitra
chin	mentum
suite	comitatus
payment	pretium
value	pretium
price	pretium
little	exiguus
small	exiguus
affright	terrifico
lenaeus	lenaeus
mauretanian	maurusius
moorish	maurusius
harsh	amarus
bitter	amarus
rumor	rumor
bloom	floreo
watch	excubiae
garamantian	garamantis
unworked	infectus
manifold	multiplex
messenger	nuntia
tenacious	tenax
crooked	pravus
falsehood	fictum
affright	territo
agile	pernix
bear	progigno
beget	progigno
coeus	coeus
maintain	perhibeo
exasperate	inrito
swiftness	mobilitas
moveableness	mobilitas
fast	velox
protect	praetego
furtive	furtivus
secret	furtivus
shine	fulgeo
dusty	pulverulentus
broad	patens
open	patens
dryopes	dryopes
cretan	cres
come	inviso
maternal	maternus
delos	delos
stream	fluentum
lycia	lycia
clasp	fibula
bind	nodo
border	limbus
delay	cunctor
horseman	eques
libyan	massylus
massylian	massylus
snare	plaga
net	plaga
trap	rete
net	rete
brightness	iubar
laugh	rideo
against	adversor
desire	voluntas
thunder	tonitrus
toils	indago
hail	grando
black	nigrans
beam	radius
ray	radius
titan	titan
rising	ortus
birth	ortus
hunt	venor
approve	probo
prefer	malo
deny	abnuo
refuse	abnuo
agree	paciscor
feel	persentio
interrupt	interrumpo
defense	propugnaculum
stick	harundo
reed	harundo
fatal	letalis
deadly	letalis
pasture	saltus
fleeting	volatilis
cretan	cressus
hind	cerva
middle	medulla
marrow	medulla
eat	edo
entrails	exta
plan	consulo
consult	consulo
inspect	inhio
cow	vacca
hoe	bidens
mattock	bidens
ignite	inflammo
ample	impensus
yielding	tractabilis
indulgent	tractabilis
rainy	aquosus
rage	desaevio
bind	innecto
thirst	sitis
unfriendly	inhospitus
unbridled	infrenus
numidian	numida
gaetulus	gaetulus
fight	pugno
agreeable	placitus
africa	africa
iarbas	iarbas
continuous	perpetuus
decency	pudor
erebus	erebus
pale	palleo
feeling	sensus
fraternal	fraternus
succumb	succumbo
torch	taeda
yoked	iugalis
accuse	arguo
declare	arguo
dream	insomnium
sleeplessness	insomnium
anna	anna
sound	sanus
vein	vena
recount	renarro
relief	levamen
joyless	inlaetabilis
drepanum	drepanum
selinus	selinus
breeder	generator
display	ostento
acragas	acragas
gela	gela
camarina	camarina
inscribe	rado
scratch	rado
shave	rado
projecting	proiectus
helorus	helorus
stagnant	stagno
arethusa	arethusa
beneath	subter
below	subter
elis	elis
stormy	undosus
billowy	undosus
plemyrium	plemyrium
sicanian	sicanus
sicilian	sicanus
back	retrorsus
backwards	retrorsus
thapsus	thapsus
pantagias	pantagias
pass	praetervehor
sail	linteum
sailcloth	linteum
napkin	linteum
cypress	cyparissus
aetnaean	aetnaeus
summon	excio
roar	immugio
powerful	potis
power	potestas
cut	incido
gnash	infrendeo
wash	lavo
running	fluidus
flowing	fluidus
solace	solamen
pleasure	voluptas
sheep	ovis
more	potius
rather	potius
sell	addico
stony	lapidosus
pearl	baca
berry	baca
tremble	tremesco
commonly	vulgo
squeeze	presso
polyphemus	polyphemus
light	lampas
wild	torvus
stern	torvus
bend	inflecto
moreover	quidem
tooth	dens
chew	mando
swim	nato
adamastus	adamastus
achaemenides	achaemenides
pledge	pignus
breathable	spirabilis
vital	spirabilis
terrify	conterreo
little	paulum
thorn	spina
dirt	inluvies
dress	cultus
civilization	cultus
cultivation	cultus
finish	conficio
emaciation	macies
remove	dimoveo
moist	umeo
wet	umeo
eous	eous
gloomy	intempestus
unpleasant	intempestus
unseasonable	intempestus
starry	sidereus
heaven	aethra
shining	lucidus
bright	lucidus
cover	subtexo
tremble	intremo
whenever	quotiens
forge	caminus
furnace	caminus
stove	caminus
enceladus	enceladus
melt	liquefacio
dissolve	liquefacio
vomit	eructo
globe	globus
ashes	favilla
brillant	candeo
shine	candeo
thunder	tono
cyclops	cyclops
kill	elido
crush	elido
troop	cohors
band	cohors
cohort	cohors
undoubtedly	nimirum
hit	pulso
aetna	aetna
scylaceum	scylaceum
shipwrecking	navifragus
caulon	caulon
tarentum	tarentum
herculean	herculeus
graiugena	graiugena
connected	continuus
reins	frenum
bridle	frenum
horse	quadrupes
snowy	nivalis
shining	candor
turreted	turritus
spray	aspargo
bend	curvo
greet	saluto
humble	humilis
agree	consto
censure	noto
sign	noto
mark	noto
seize	capto
slow	segnis
hour	hora
overshadow	umbro
ceraunia	ceraunia
finish	perago
appear	oborior
arise	oborior
equal	aequalis
woven	textilis
embroidered	picturatus
departure	digressus
beyond	ultra
necessary	necesse
glide	praeterlabor
seize	arripio
snatch	arripio
ausonia	ausonia
supply	suppleo
crest	crista
cone	conus
triple	trilix
hook	hamus
hauberk	lorica
dodonaean	dodonaeus
control	impero
command	impero
elephant	elephantus
willing	volens
loss	dispendium
expenditure	dispendium
sibylla	sibylla
situation	situs
transcribe	describo
describe	describo
note	nota
mark	nota
avernus	averna
cumaean	cumaeus
willing	libens
foresight	prudentia
resound	resono
dog	canis
shapeless	informis
once	semel
how	quam
as	quam
than	quam
pachynum	pachynus
coda	cauda
dolphin	delphinus
semonster	pistrix
next	posterus
beat	verbero
flog	verbero
whip	verbero
erect	erigo
absorb	sorbeo
suck	sorbeo
charybdis	charybdis
unappeased	implacatus
scylla	scylla
separate	diduco
age	vetustas
remote	longinquus
circle	circuitus
circuit	circuitus
pelorus	pelorus
open	raresco
pure	castus
across	trans
petelia	petelia
philoctetes	philoctetes
cretan	lyctius
lyctian	lyctius
locrian	locrus
repose	requies
lie	recubo
extended	recubo
recline	recubo
littoral	litoreus
worried	sollicitus
circe	circe
lower	infernus
welcoming	hospitus
that	quo
authority	auspicium
divination	auspicium
entreat	exoro
denounce	denuntio
prognostic	prodigium
replaced	repositus
successful	prosper
auspicious	prosper
favorable	prosper
fleet	praepes
swift	praepes
clarian	clarius
tripod	tripus
mediator	interpres
beg	quaeso
linen	carbasus
fill	inflo
middle	medium
enjoy	fruor
stream	rivus
brook	rivus
manly	virilis
who	quisnam
chaon	chaon
chaonia	chaonia
orestes	orestes
spartan	lacedaemonius
lacedaemonian	lacedaemonius
hermione	hermione
strive	enitor
struggle	enitor
haughtiness	fastus
achillean	achilleus
bed	cubile
couch	cubile
master	erus
allotment	sortitus
hostile	hostilis
modest	demissus
eject	deicio
gape	hisco
warmth	calor
alarm	exterreo
frighten	exterreo
turf	caespes
husband	maritus
helenus	helenus
priamides	priamides
anticipate	occupo
seize	occupo
incredible	incredibilis
buthrotum	buthrotum
chaonian	chaonius
phaeaces	phaeaces
thwart	transtrum
equipment	gestamen
raise	aspero
icy	glacialis
game	ludus
throw	iacio
dread	formido
point	cacumen
leucat	leucates
then	mox
soon	mox
execrate	exsecror
mother	altrix
nurse	altrix
ithaca	ithaca
neritos	neritos
same	same
dulichium	dulichium
zacynthus	zacynthus
woody	nemorosus
helmsman	gubernator
battlements	minae
threats	minae
beg	exposco
cold	derigesco
feather	penna
wing	penna
cheek	mala
consume	ambedo
before	antequam
fury	furia
foretell	praedico
laomedontiades	laomedontiades
bullock	iuvencus
lofty	praecelsus
down	pluma
feather	pluma
filthy	obscenus
misenus	misenus
lookout	specula
distribute	dispono
arrange	dispono
place	dispono
proclaim	edico
vile	taeter
disagreeable	taeter
foul	immundus
unclean	immundus
touch	contactus
terrible	horrificus
banquet	epulor
raise	exstruo
erect	exstruo
enter	intro
excrement	proluvies
foul	foedus
bird	volucris
stygian	stygius
harpyia	harpyia
celaeno	celaeno
ionian	ionius
ionic	ionius
strophades	strophades
sailor	nauta
fourth	quattuor
four	quattuor
mist	caligo
palinurus	palinurus
determine	discerno
sprinkle	dispergo
continuously	continuo
immediately	continuo
rough	inhorresco
above	supra
shout	ovo
stretch	portendo
cheat	decipio
deceive	decipio
accomplish	perficio
complete	perficio
vision	visum
astonished	attonitus
italian	ausonius
ausonius	ausonius
corythus	corythus
doubt	dubito
hesitate	dubito
iasius	iasius
dardanus	dardanus
delian	delius
traverse	permetior
confer	defero
report	defero
insert	insero
animal	animal
pray	precor
beg	precor
wither	areo
dry	areo
sirius	sirius
unfruitful	sterilis
unproductive	sterilis
pestilence	lues
pitied	miserandus
dragging	tractus
emaciated	tabidus
work	operor
almost	fere
fireplace	focus
love	amo
curetes	curetes
ancestor	proavus
struggle	certamen
contest	certamen
cyclades	cyclades
paros	paros
olearos	olearos
donus	donusa
naxos	naxos
rage	bacchor
revel	bacchor
ortygia	ortygia
idomeneus	idomeneus
paternal	paternus
white	albus
due	meritus
deserved	meritus
cretan	cretaeus
distant	disto
mistress	domina
corybantian	corybantius
protectress	cultrix
remember	recordor
fruitful	uber
fertile	uber
inhabit	habito
birthplace	cunabula
cradle	cunabula
crete	creta
monument	monumentum
memorial	monumentum
kettle	cortina
caldron	cortina
low	mugio
encircle	redimio
anius	anius
scorn	contemno
despise	contemno
gyaros	gyaros
myconos	myconos
aegean	aegaeus
nereis	nereis
creak	crepito
milk	lac
small	cymbium
tepid	tepidus
warm	tepidus
manes	manes
soil	polluo
sever	abrumpo
blockade	obsidio
siege	obsidio
distrust	diffido
northern	threicius
thracian	threicius
nourish	alo
entrust	mando
dangerous	anceps
unsettled	anceps
spear	iaculum
polydorus	polydorus
flow	mano
drip	mano
bloodshed	cruor
blood	cruor
strange	externus
foreign	externus
outside	externus
tear	lacero
disastrous	lacrimabilis
piteous	lacrimabilis
express	eloquor
strive	obluctor
exertion	nisus
pressure	nisus
favor	secundo
aid	secundo
correctly	rite
duly	rite
gradivus	gradivus
rustic	agrestis
rural	agrestis
venerate	veneror
cork	cortex
shell	cortex
bark	cortex
osier	vimen
slow	lentus
sticky	lentus
flexible	lentus
defile	maculo
stain	maculo
spot	maculo
gore	tabum
drop	gutta
run	liquor
root	radix
frondens	frondeo
leafy	frondeo
branch	ramus
green	viridis
myrtle	myrtus
thicket	virgultum
brambles	virgultum
diviner	auspex
enter	ingredior
lycurgus	lycurgus
thracian	thrax
collect	contraho
antandros	antandros
undeserving	immeritus
lucifer	lucifer
launch	deduco
wonder	admiror
admire	admiror
assemble	adfluo
consume	consumo
seize	comprehendo
unite	comprehendo
arm	brachium
attempt	conor
try	conor
thin	tenuis
hold	detineo
divine	divus
dardanis	dardanis
serve	servio
thybris	thybris
mild	lenis
kind	lenis
gentle	lenis
etruscan	lydius
lydian	lydius
western	hesperius
plough	aro
gratify	indulgeo
remove	demo
again	iterum
captured	captivus
watch	adservo
guard	adservo
preserve	adservo
phoenix	phoenix
temple	asylum
advance	procedo
greedy	edax
voracious	edax
observe	observo
watch	observo
beginning	principium
return	revertor
gleaming	fulgens
lacking	desum
weary	lassus
tired	lassus
pathless	avius
confused	confusus
mingled	confusus
dark	opacus
shady	opacus
footstep	passus
pace	passus
lion	leo
hide	pellis
skin	pellis
cover	insterno
old	vetustus
mound	tumulus
track	vestigium
trace	vestigium
wherever	quocumque
whithersoever	quocumque
load	gravo
burden	gravo
yield	cedo
now	iamiam
already	iamiam
smoke	fumo
sulphur	sulphur
border	limes
star	stella
strengthen	firmo
deserve	mereor
earn	mereor
prayer	prex
agitated	trepido
innocent	innoxius
harmless	innoxius
touch	tactus
touching	tactus
peak	apex
unexpected	subitus
protect	tutor
beyond	extra
outside	extra
unavenged	inultus
today	hodie
never	numquam
linger	demoror
sacrifice	iactura
loss	iactura
discover	invenio
find	invenio
solid	solidus
firm	solidus
dense	solidus
complete	integer
fresh	integer
untouched	integer
banishment	exilium
exile	exilium
deny	abnego
descend	descendo
nod	nuto
distract	concutio
disturb	concutio
terrify	concutio
strike	concutio
beat	concutio
shake	concutio
continuously	usque
neptunian	neptunius
last	imus
deepest	imus
thick	spissus
dense	spissus
close	spissus
gorgo	gorgo
effulgent	effulgo
scaea	scaea
shake	quatio
smoke	fumus
dark	caligo
impair	hebeto
inclemency	inclementia
unkindness	inclementia
lacaena	lacaena
arouse	excito
restrain	contineo
contain	contineo
god	caelicola
confess	confiteor
pure	purus
avenging	ultrix
praise	laudo
extinguish	exstinguo
victory	victoria
memorable	memorabilis
although	etsi
sweat	sudo
fall	occido
set	occido
marriage	coniugium
triumph	triumphus
sparta	sparta
certainly	scilicet
avenge	ulciscor
secret	invisus
unseen	invisus
general	communis
common	communis
helen	tyndaris
jump	saltus
creus	creusa
sovereign	regnator
departure	exitus
hilt	capulus
slip	lapso
recount	narro
report	narro
tell	narro
degenerate	degener
news	nuntius
messenger	nuntius
noisy	raucus
stroke	ictus
blow	ictus
peaceful	imbellis
unwarlike	imbellis
grave	sepulcrum
tomb	sepulcrum
blush	erubesco
plant	sero
ought	debeo
owe	debeo
outrage	ausum
exclaim	exclamo
aggressive	infestus
hostile	infestus
empty	vacuus
portico	porticus
colonnade	porticus
polites	polites
aged	longaevus
speak	effor
need	egeo
want	egeo
that	iste
protector	defensor
defender	defensor
youthful	iuvenalis
crowded	condensus
thick	condensus
dove	columba
pigeon	columba
laurel	laurus
close	iuxta
near	iuxta
sky	axis
axle	axis
unserviceable	inutilis
useless	inutilis
aged	senex
old	senex
fail	deficio
barbaric	barbaricus
foreign	barbaricus
bedchamber	thalamus
consecrate	sacro
hecuba	hecuba
brothel	stabulum
inn	stabulum
stable	stabulum
overcome	evinco
torrent	amnis
river	amnis
slaughter	trucido
entryway	aditus
door	ianua
ram	aries
worth	valeo
strong	valeo
support	suffero
frightened	pavidus
scared	pavidus
howl	ululo
feminine	femineus
shrine	aedes
building	aedes
lamentation	plangor
window	fenestra
strong	firmus
firm	firmus
pluck	vello
break	perrumpo
automedon	automedon
charioteer	agitator
periphas	periphas
slippery	lubricus
smooth	lubricus
bring	nitidus
shining	nitidus
winter	bruma
cold	frigidus
cool	frigidus
herb	gramen
plant	gramen
grass	gramen
snake	coluber
pyrrhus	pyrrhus
entrance	vestibulum
floor	tabulatum
planking	tabulatum
joint	iunctura
joining	iunctura
greek	achaicus
achaean	achaicus
void	irritus
invalid	irritus
evade	evado
astyanax	astyanax
grandfather	avus
unattended	incomitatus
andromache	andromache
use	usus
free	pervius
unobstructed	pervius
perform	instauro
build	instauro
throw	devolvo
tower	turris
grasp	prenso
protect	protego
conceal	protego
cover	protego
door	postis
doorjamb	postis
ladder	scalae
wall	paries
wild	indomitus
untamed	indomitus
nowhere	nusquam
age	aevum
lifetime	aevum
eternity	aevum
pelias	pelias
iphitus	iphitus
succession	vicis
change	vicis
turn	vicis
shun	vito
avoid	vito
foreign	exter
outward	exter
ashes	cinis
bandage	infula
transfix	configo
right	aequum
observant	servans
peneleus	peneleus
immediately	ilicet
mark	signo
disagreeing	discors
sound	sonus
lie	mentior
drive	agito
foundation	fundus
nereus	nereus
frothy	spumeus
foamy	spumeus
army	exercitus
attain	consequor
overtake	consequor
perish	pereo
throw	inicio
madden	furio
specter	species
image	species
appearance	species
tender	tener
believe	fido
trust	fido
unwilling	invitus
back	rursus
ugly	turpis
orcus	orcus
join	consero
arm	armo
equip	armo
hairy	comans
decoration	insigne
medal	insigne
right	dexter
exult	exsulto
ecstatic	exsulto
fear	formido
dense	densus
thick	densus
differently	secus
otherwise	secus
agitated	trepidus
thorn	sentis
restrain	reprimo
glide	delabor
response	responsum
sloth	segnities
hurry	festino
allied	socius
androgeos	androgeos
superstitious	religiosus
reverent	religiosus
lazy	iners
unskilled	iners
explain	explico
untangle	explico
destruction	clades
go	vado
dry	siccus
mouth	faux
belly	venter
stomach	venter
plunderer	raptor
as	ceu
wolf	lupus
craving	cupido
desire	cupido
rule	praeceptum
precept	praeceptum
insane	insanus
mygdonides	mygdonides
coroebus	coroebus
young	iuvenis
youthful	iuvenis
gather	agglomero
dymas	dymas
hypanis	hypanis
epytus	epytus
ripheus	ripheus
murmuring	fremitus
erinys	erinys
battle	proelium
narrow	angustus
blockade	obsideo
difficult	arduus
steep	arduus
fierce	ferus
wild	ferus
snatch	prehendo
grasp	prehendo
othryades	othryades
panthus	panthus
die	morior
method	ratio
insane	amens
mad	amens
trumpet	tuba
braying	clangor
proceed	exorior
ucalegon	ucalegon
vulcan	vulcanus
deiphobus	deiphobus
manifest	manifestus
clear	manifestus
headlong	praeceps
ox	bos
grain	sata
torrent	torrens
withdraw	recedo
secret	secretus
hidden	secretus
separated	secretus
innermost	penetralis
approve	commendo
recommend	commendo
entrust	commendo
top	culmen
nothing	nihil
calm	serenus
serene	serenus
unworthy	indignus
expect	exspecto
dardania	dardania
explain	expromo
cry	fleo
stiffen	concresco
beard	barba
rough	squaleo
garment	exuviae
swell	tumeo
car	bigae
weeping	fletus
creep	serpo
sleepless	vigil
bury	sepelio
epeius	epeos
constructor	fabricator
menelaus	menelaus
machaon	machaon
neoptolemus	neoptolemus
pelides	pelides
thoas	thoas
acamas	acamas
sthenelus	sthenelus
thessandrus	thessandrus
take	promo
reveal	patefacio
uneven	iniquus
defend	defendo
battalion	phalanx
sound	sopor
sleep	sopor
leaf	frons
cover	velo
festive	festus
sacred	festus
farthest	ulterior
farther	ulterior
command	iussus
order	iussus
cassandra	cassandra
forgetful	immemor
unmindful	immemor
halt	subsisto
fall	illabor
glide	illabor
line	funis
rope	funis
girl	puella
climb	scando
strain	intendo
stretch	intendo
shout	conclamo
criminal	sceleratus
deserve	mereo
earn	mereo
trembling	pavor
fear	pavor
penetrate	insinuo
embosom	insinuo
shake	tremefacio
escape	effugio
flee	effugio
shrine	delubrum
gliding	lapsus
slipping	lapsus
axe	securis
drunk	saucius
afflicted	saucius
wounded	saucius
bellowing	mugitus
lowing	mugitus
dreadful	horrendus
putrid	sanies
wash	perfundo
scaly	squameus
bind	ligo
tie	ligo
fold	spira
consume	depascor
embrace	amplector
snake	serpens
two	duo
sight	visus
shake	vibro
language	lingua
tongue	lingua
lick	lambo
hissing	sibilus
suffuse	sufficio
noise	sonitus
sounding	sonitus
roll	volumen
book	volumen
coil	sinuo
behind	pone
bloodshot	sanguineus
bloody	sanguineus
snake	anguis
bristle	horresco
still	tranquillus
calm	tranquillus
kill	macto
reward	macto
punish	macto
customary	sollemnis
dreadful	tremendus
greatly	multo
tehth	decem
ten	decem
dominate	domo
subdue	domo
larissaean	larisaeus
lie	periurium
descendant	nepos
grandchild	nepos
greek	pelopeus
argive	pelopeus
pelopeian	pelopeus
rather	prius
to	prius
before	prius
preceding	prius
earlier	prius
violate	violo
form	texo
weave	texo
strength	robur
oak	robur
immense	immensus
advise	moneo
warn	moneo
arrange	digero
separate	digero
shine	emico
leap	emico
sweat	sudor
statue	simulacrum
likeness	simulacrum
monster	monstrum
omen	monstrum
tritonian	tritonius
backwards	retro
maidenly	virgineus
effigy	effigies
image	effigies
portrait	effigies
holy	sacer
palladium	palladium
pluck	avello
approach	adgredior
fatal	fatalis
fated	fatalis
contriver	inventor
finder	inventor
promise	promissum
cover	tego
hate	odi
untie	resolvo
sword	ensis
testify	testor
inviolable	violabilis
violable	violabilis
scruple	religio
rite	religio
founder	auctor
ask	rogo
state	edissero
forget	obliviscor
so	ita
pity	misereor
chaste	intemeratus
undefiled	intemeratus
truth	verum
because	quod
blame	culpa
fault	culpa
perchance	fors
haply	fors
lurk	delitesco
hide	delitesco
reservoir	lacus
lake	lacus
miry	limosus
death	letum
ribbon	vitta
temple	tempus
witty	salsus
salted	salsus
ruin	exitium
destruction	exitium
every	quisque
each	quisque
and	adsentio
intend	destino
determine	destino
break	rumpo
compact	compositum
refuse	recuso
covered	tectus
demand	flagito
draw	protraho
confusion	tumultus
poet	vates
apollo	apollo
tremor	tremor
quaking	tremor
trembling	tremor
icy	gelidus
cold	gelidus
atone	lito
cut	caedo
strike	caedo
kill	caedo
prophecy	oraculum
oracle	oraculum
eurypylus	eurypylus
construct	contexo
hinder	intercludo
depart	discedo
desire	cupio
feigned	fictus
tremble	pavito
follow	prosequor
inquire	scitor
ascertain	scitor
ithacan	ithacus
consume	sumo
enough	satis
unpleasant	ingratus
moreover	autem
however	autem
calchas	calchas
rest	requiesco
falling	labes
punisher	ultor
